,Unnamed: 0,twitterid,Date,User,Tweet,source,likes,replycount,retweets
18,18,1.20E+18,28-11-2019,Erdayastronaut,"Guess who’s got some brand new merch just in time for #BlackFriday! 3 new products: “Lunar Mission”, a holiday exclusive “Ode to Delta II” &amp; a hoodie version of the Full Flow shirt! Best of all, automatically take 15% off starting NOW through Monday! https://t.co/VBXDtjZlf1 https://t.co/E1C42mj7h0","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",310,15,12
19,19,1.20E+18,28-11-2019,ChaukimP,Today a Delta came up to me thanking me for standing up for them during a miss understanding and it made me feel good inside. Letters won’t determine who I speak up for when I have the ability to. Because at the end of the day people are people.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",132,0,13
20,20,1.20E+18,28-11-2019,torybruno,The number of turkeys that could be cooked in the exhaust plume of a Delta IV Heavy... https://t.co/w80fSmTXQI,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",636,32,135
21,21,1.20E+18,28-11-2019,torybruno,"@TrivialGravitas @XploreDeepSpace @MNagant @lilyride2000 @ulalaunch Therefore, we need 32 Delta IV Heavies to cook enough turkeys for the entire US on Thanksgiving Day","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",224,4,23
22,22,1.20E+18,28-11-2019,VelikiZeko,"@travisakers That is a wildly false comparison. Fat shaming is endemic in our culture &amp; wrong. But I don't think saying the emperor has no clothes, when the emperor insists on Glorious Leader style hagiography rises to that level. It's calling out his lies bc they are, not bc his weight","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",302,6,9
23,23,1.20E+18,28-11-2019,pinstripedline,Seen on social media. A Russian Delta class SSBN. Good reminder of how much lurks beneath the waterline. https://t.co/CrKiPJqwDB,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",473,20,105
24,24,1.20E+18,28-11-2019,mynameisjro,my mom: “look jason! two men and a baby in the delta commercial!”,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",123,3,3
25,25,1.20E+18,28-11-2019,joelsartore,"Happy Thanksgiving from this beautiful ocellated turkey @officialdwazoo! Endemic to Mexico's Yucatan Peninsula, Guatemala and Belize, these turkeys look similar to the North American wild bird, but have more vibrant coloring and weigh less than the birds in the States. https://t.co/BFaXQvh4cH","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",291,2,68
26,26,1.20E+18,28-11-2019,tonyschiavone24,The only thing missing this morning from the boarding process of @Delta 954 at @flyLAXairport is Benny Hill music,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",382,33,11
27,27,1.20E+18,28-11-2019,deltagamma,"Today we're thankful for you, sister. Happy Thanksgiving, Delta Gammas! 🌽 🥧🍞","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",151,0,19
28,28,1.20E+18,28-11-2019,torybruno,"@MNagant @lilyride2000 @ulalaunch Given an average thanksgiving turkey mass, Delta IV Heavy can lift approximately 5300 gobblers to LEO","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",373,21,59
29,29,1.20E+18,28-11-2019,Delta,Wish-Biscoff is the new wishbone. #HappyThanksgiving https://t.co/VsXEw3GawC,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>",246,25,21
30,30,1.20E+18,28-11-2019,WYP_SallyB,"Two years ago I had a Gastric Bypass Operation. 
I’ve lost 6st in weight but gained my life &amp; future back.
This morning I’ve been discharged from the Bariatric Clinic’s Care as a success story! 
I am chuffed to bits &amp; I cannot thank the wonderful @NHSuk enough. https://t.co/eZeGOMiWyw","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",194,26,7
31,31,1.20E+18,28-11-2019,KatarinaThePug,Delta got us riled up and now we’re plying bitey face in the coffee bar.  Mom is like 😳🙄 https://t.co/ivSu8rEi7f,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",140,7,5
32,32,1.20E+18,28-11-2019,PoojaMedia,"It’s only in Nigeria, a team will start the season, play over 4 games &amp; get tired &amp; put the club’s slot on Black Friday. 

Delta Force got tired of the league &amp; sold to Kwara Utd after Matchday 5. 

Delta Force players slept as Premier League players but woke up as NNL players 😂","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",159,30,93
33,33,1.20E+18,28-11-2019,RobertJohnDavi,⁩ A gift from ⁦@DELTA_Rescue⁩   ⁦@LeoGrilloActor⁩ &amp; myself - A film for the entire family MAGIC -follow instruction in video attached to watch movie for FREE ! HAPPY THANKSGIVING AND THANK YOU ⁦@BillOReilly⁩ for your support !! BLESSINGS https://t.co/k5yBGzNO3a,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",378,29,85
34,34,1.20E+18,28-11-2019,_thesymoneshow,"Delta saved me, IM Made me https://t.co/HZqlXdvpkT","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",154,1,15
35,35,1.20E+18,28-11-2019,Jacobcastro210,"If you in a frat your girl single to me, tf is Tristan from phi delta theta gonna do shotgun a white claw and flex his jawline on IG????","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",188,10,31
36,36,1.20E+18,27-11-2019,lpackard,"In lovely ATL airport, one middle seat and one spilled drink on me later. But handing out a union signup card &amp; pin to an enthusiastic Delta flight attendant? Priceless. #1u #UnionStrong Support Delta flight attendants when you fly: https://t.co/8zYApcOxGj https://t.co/Uy5zTQw8SG","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",153,11,19
37,37,1.20E+18,27-11-2019,officialEFCC,"EFCC Arraigns Fake "" Ibrahim Magu"" in Port Harcourt

The Port Harcourt's office of the EFCC on Wednesday, November 27, arraigned a fake ‘IBRAHIM MAGU’ who has been using the name of the EFCC boss to harass and blackmail senior officials of  the Niger Delta Development Commission, https://t.co/6j5QXxNU9q","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",287,44,85
38,38,1.20E+18,27-11-2019,HailStateMBK,"""The whole Delta supports me. They always let me know how proud they are of me. I feel like that's what I'm doing it for."" -@djstewart187 

 📰: https://t.co/eEYU1aRCz3

#HailState🐶","<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers.</a>",380,1,48
39,39,1.20E+18,27-11-2019,CharlesPPierce,"“Hendrix plays Delta blues for sure, but the delta’s on Mars.”
— Tony Glover https://t.co/muSgfUQSEN","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",393,16,73
40,40,1.20E+18,27-11-2019,praddy06,"Update on the rains from tonight / tomorrow in KTC and Tamil Nadu. The bands are slowly rising up from Delta region to KTC belt. The key days for Chennai will be 30th Nov &amp; 1st Dec. All along TN coast and South Interior districts there will be good rains

https://t.co/UCCpByxxZ4","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",765,20,83
41,41,1.20E+18,27-11-2019,Laurestar,"HOW THE NIGER DELTA UNDERDEVELOPED THE NIGER DELTA.
Since inception in 2000, NDDC has received at least ₦15 Trillion, yet FAILED to achieve d Niger Delta Regional Development Masterplan to lay d foundation for transforming the region into Nigeria’s Dubai.
We did it to ourselves. https://t.co/NJMojVeuSS","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",516,82,357
42,42,1.20E+18,27-11-2019,kayynew,I made it to Delta Land 🐘🔺 https://t.co/jNTq65cFmS,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",170,5,35
43,43,1.20E+18,27-11-2019,RikerGoogling,how to move to the delta quadrant,"<a href=""https://gitlab.com/JoeSondow"" rel=""nofollow"">Joe's Bots</a>",209,14,31
44,44,1.20E+18,27-11-2019,_countinstars_,I just got a job offer just because I was an Alpha and the hiring person was a Delta.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",669,12,50
45,45,1.20E+18,27-11-2019,deltapsi_kkpsi,"100 years of promoting the advancement of college and university bands. From the brothers of Delta Psi, happy founders day to the greatest fraternity on earth. 🤟🏾 #KKPsi  #AEA #Centennial #100years #BOH https://t.co/M7lihKUJiI","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",225,0,75
46,46,1.20E+18,27-11-2019,ArgyleLoz,"Looking at the timeline of @bbclaurak today, the question I'd like answered is how the hell is she still in the job of Political Editor @BBC her bias towards Mr Johnson/tory party is so ingrained, she won't be held to account because tory bias at @BBCNews is endemic #VoteLabour","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",253,16,146
47,47,1.20E+18,27-11-2019,andtheHare,"Today I saw the surgeon who told me I had cancer 8 years ago. 'I didn't expect you to still be alive now' he said. So, hurrah and thank you to the @NHSuk for keeping me here, and hurrah for still being here. I'm off to have a curly wurly and take the dog for a walk to celebrate.","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",377,25,21
48,48,1.20E+18,27-11-2019,AsterShock,@SerebiiNet Reminds me of Delta Snorlax from Insurgence. https://t.co/4LtAZgcQsM,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",201,6,7
49,49,1.20E+18,27-11-2019,CorvinNI,"Thank you for all the well wishes. Harley’s Surgery went perfectly and she’s recovering well. 

Thank you to the @NHSuk for everything. All of the Staff were exceptional with my daughter, I’m eternally grateful. https://t.co/T9PMf7Ro15","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",235,17,3
50,50,1.20E+18,27-11-2019,teguando1,"1. The campaign and war against @SenatorAkpabio by those who have held the Niger Delta region by the juglar and stunted her development is getting dirty daily.
I stumble on a video of social media yesterday .
My question to them is ,why are they afraid of @SenatorAkpabio ?","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",181,23,91
51,51,1.20E+18,27-11-2019,SarahMackAttack,Ceylon magpie (aka Sri Lanka blue magpie; Urocissa ornata). A Sri Lankan endemic. These birds can be seen in pairs or small flocks where they noisy work the tree canopy.  They are considered vulnerable and declining. 📸 Dave Irving https://t.co/sGPN6jvBtl,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",141,3,11
52,52,1.20E+18,27-11-2019,BrandonTurkus,"I have discovered you can buy a Roush supercharger for an F-150 with Delta Skymiles. I desperately want to know if there’s anyone that’s done this, and if so, why? https://t.co/vBpgjptj0G","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",187,9,15
53,53,1.20E+18,27-11-2019,sammiferrell,‼️WHEN @Delta RUINS THANKSGIVING BEFORE IT EVEN STARTED‼️ https://t.co/xejskmIv48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",112,5,12
54,54,1.20E+18,27-11-2019,cailonpalmer,I finally made it to Delta Land ❤️🐘 OOooop https://t.co/8FO3HhjTDF,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",111,6,16
55,55,1.20E+18,27-11-2019,UN_Women,"People around the world took to the streets to protest violence against women and demand action to end this pandemic.

Let's speak up, stand up and keep up the momentum this #16Days of Activism! #orangetheworld via @TicToc https://t.co/DK1x5Mu4e0","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",217,1,82
56,56,1.20E+18,27-11-2019,its_ndp,Delta is The Only Way❤️ https://t.co/pbkgNAid8I,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",106,1,9
57,57,1.20E+18,27-11-2019,BREElieve,"I hate being Greek. Like despise it. I love being a Delta. But fuck all the rest of the BS that comes with being associated with the “D9” this ain’t what they envisioned on May 10th, I just know it ain’t","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",138,2,24
58,58,1.20E+18,27-11-2019,PhilWithTheShot,Beta Oop x Delta Gamma with a #HIT ‼️ https://t.co/Srcu4iJH3G,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",364,0,107
59,59,1.20E+18,27-11-2019,FMWHNIG,#FGAtWork... Ongoing Construction of 2nd Niger Bridge in Anambra and Delta States. https://t.co/82W8D4Qt78,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",330,23,160
60,60,1.20E+18,26-11-2019,notcapnamerica,Delta Airlines actually thinks I’m Adam Schiff 😩 https://t.co/IK3Pq3VlfO,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",206,31,5
61,61,1.20E+18,26-11-2019,youCHImee,"Proud To Be A DELTA WOMAN.

This is only the beginning of a lifetime of memories, accomplishments, and sisterhood. With that being said, it’s Zeta Psi over EVERYONE. ❤️🐘 #DeltaSigmaTheta #ZetaPsi https://t.co/h01OEhtsYw","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",356,2,63
62,62,1.20E+18,26-11-2019,Delta,You immediately after sending that “out of office” email. https://t.co/ndCDjgoKgv,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>",1330,37,206
63,63,1.20E+18,26-11-2019,JaredFPS,"Excited to announce I will be playing in the @WatchMixer Matchups hosted by @ninja with Team Delta on @Halo 

@LuckyShotsMIX 
@DoctorFu 
@JokenOnMixer 

Tune in December 4th 📺 https://t.co/DCRAo1sOCU","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",156,7,28
64,64,1.20E+18,26-11-2019,The_Seeker76,"I just watched a program where Akpabio was yapping about underdevelopment of the Niger Delta. He asked why there is much poverty, unemployment &amp; bad roads, despite its wealth

With the way he spoke, you might forget he was governor of a state in the region for 8yrs!

He's SICK O!","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",350,33,150
65,65,1.20E+18,26-11-2019,Jaceyyylynnn,Happy Charter Day to THE Alpha Kappa chapter of Delta Sigma Theta Sorority inc.  89 years never looked so good !!!! ❤️🐘 #1930WasAgoodYear #youreWelcomei35 https://t.co/LUJsKM8prf,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",105,9,11
66,66,1.20E+18,26-11-2019,GangUbi,"What corporations paid in federal income tax under in 2018:

Amazon: $0
Chevron: $0
Delta: $0
Deere: $0
Eli Lilly: $0
GM: $0
Goodyear: $0
Halliburton: $0
IBM: $0
JetBlue: $0
Molson Coors: $0
Netflix: $0

RT if you paid at least 1 cent in federal income taxes last year.","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",221,12,170
67,67,1.20E+18,26-11-2019,birrlad,"Some 31L departure shots at @JFKairport (Sept 2019)
#avgeek #aviation #aviationdaily #Departure #airtravel #jetblue #interjet #aeromexico #delta https://t.co/jBzlwMucyL","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",234,3,19
68,68,1.20E+18,26-11-2019,its_koyaaaa,"A dream come true....
#14 “The Diplomat” has arrived to Delta Land.🔺🐘 So thankful for my 19 sisters and this sorority. Thank you Gamma Lambda for listening to me. Happy 76th to my chapter. 🙌🏾

Delta Sigma Theta Sorority, Inc. is the ONLY way. 
•
•
•
#GL #AOML #DST #1913 https://t.co/cspx5PJqmq","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",219,3,31
69,69,1.20E+18,26-11-2019,_Shimalove,I finally got my pearls💕💚 I am now a member of THEE DISTINGUISHED Delta Zeta Chapter of Alpha Kappa Alpha Sorority Incorporated #AKA1908 #dzaka https://t.co/2wj40EQGC1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",138,2,16
70,70,1.20E+18,26-11-2019,KamalaHarris,"Airline catering workers shouldn’t have to choose between paying their bills or seeing a doctor. Today I joined @unitehere in calling on @AmericanAir, @United, and @Delta to raise the minimum wage of catering workers to $15/hr and benefits. One job should be enough to survive.","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",1159,111,316
71,71,1.20E+18,26-11-2019,MikeEspyMS,"Congrats Arielle on becoming the University of Mississippi’s first Black woman Rhodes Scholar! Good luck at Oxford. We can’t wait until you return to teach in the Mississippi Delta.
https://t.co/FoLaBShTXK","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",441,8,116
72,72,1.20E+18,26-11-2019,AliAbunimah,Labour leader @JeremyCorbyn should sue the Tory chief rabbi for libel and defamation for repeating absolute lies about endemic anti-Semitism in the party. Instead we get this tepid response. https://t.co/27TGayVSSG,"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>",164,12,70
73,73,1.20E+18,26-11-2019,PNDkultureshock,There is no way Delta Interest will tell Deltas how to Delta....,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",123,3,33
74,74,1.20E+18,26-11-2019,Weird_AnimaIs,"Hammerhead fruit bats are endemic to equatorial Africa &amp; have a metre-long wingspan.

(Photo: Micheal Abedi-Lartey) https://t.co/IBDi4MULbf","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",414,2,66
75,75,1.20E+18,26-11-2019,PNDkultureshock,I thought we agreed y’all mind y’all own business and not dabble into Delta Business? https://t.co/z0YPetC5jN,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",287,9,56
76,76,1.20E+18,26-11-2019,JustSayXtian,"Antisemitism is woven through Christianity. It's endemic. Divesting oneself of the antisemitism that is inherent in the Christian worldview takes a lot of work, and the fact that it's a lot of work doesn't make it okay to *not* to do that work. Do the work people. https://t.co/4ywc7pghAq","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",394,10,64
77,77,1.20E+18,26-11-2019,miriammirwitch,"It’s vital we speak out about antisemitism and Islamophobia in politics.

To fight each, we must also fight the other. We must stand together.

Islamophobia is endemic in the Tory party and it’s disgusting. I stand with my Muslim sisters, brothers and siblings.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",153,6,28
78,78,1.20E+18,26-11-2019,BBCPolitics,"“Unfortunately Islamophobia is a serious problem, it’s endemic, it’s institutional within the Conservative Party”

Muslim Council of Britain’s Miqdaad Versi says “no action has been taken” and the party has a “structural problem” 

#politicslive https://t.co/aiKOykxgWs https://t.co/IDO87JIjRB","<a href=""http://snappytv.com"" rel=""nofollow"">SnappyTV.com</a>",1427,556,1073
79,79,1.20E+18,26-11-2019,AMFChina,"The brainwashing camps in #Xinjiang are a crime against humanity. 

General-secretary Xi Jinping needs to be held to account for endemic &amp; systemic human rights violations.

Former White House Chief of Staff Leon Panetta calls for international action.

#EndTheCamps
#NeverAgain https://t.co/xHK6iIyaxL","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",728,34,673
80,80,1.20E+18,26-11-2019,Otto_English,"Dominic Raab epitomises that nasty and endemic sense of entitlement that sits within much our our current white male Tory ruling class. A man seemingly without talent, charm or ability who thinks he's better than us mere mortals by dint of his job. Love to see him lose his seat.","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2673,53,563
81,81,1.20E+18,26-11-2019,Richard_Spoor,"Cyril says violence against women betrays African values. Lol, this in a continent where witch killings, ukuthwala (bride abductions), bride price, male initiation, FGM and succession laws that discriminate against women are endemic.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",282,36,83
82,82,1.20E+18,26-11-2019,WichitaTriDelta,"IT’S A TRI DELTA UPSILON ENGAGEMENT! 

Congrats to our sister Paige on her engagement to @DeltaUpsilonWSU’s very own Matt Burdick! 🤩 https://t.co/Z6XLtrIa3Z","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",117,2,14
83,83,1.20E+18,26-11-2019,jordyn_marie23,"Let me reintroduce myself. 
I am the President of Delta Zeta Delta Thetas 💓🐢 @UHDeltaZeta @DeltaZetaNatl https://t.co/Gj4gEN8AAv","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",114,3,25
84,84,1.20E+18,26-11-2019,MarimbaCabaret,"@danjlevy @Delta @rocketmanmovie Sad. Considering they also have this ad in their boarding bridge, which my husband and I tried to recreate (unsuccessfully?). https://t.co/Y5OUrZkEhg","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",136,3,0
85,85,1.20E+18,26-11-2019,jayydenae,Delta Sigma Theta is the ONLY way. ❤️ #FirstDayOut https://t.co/IHB97Z4V49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",256,5,47
86,86,1.20E+18,26-11-2019,ClaireShrugged,"Imagine if all the people criticising @CountDeadWomen - a vital project documenting Britain’s endemic of male violence against women - put that energy into challenging men’s violence, volunteering with women’s orgs, or collecting their own data.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",136,1,34
87,87,1.20E+18,26-11-2019,ultras_antifaa,"PHOTO | To draw attention to the endemic violence &amp; machismo in Mexico, women painted feminist graffiti on the wooden wall around ""Angel of Independence"" monument on November 25, 2019. https://t.co/EQ3SgJef1I","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",234,3,100
88,88,1.20E+18,25-11-2019,AhdaysiaM,4ever free❤️ Proud Delta woman ‘TIL THE DAY I die🔺 https://t.co/CnuIVblrrX,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",186,0,25
